totalIterations;numWorkers;Duree;Pi;Error
1000000;1;99;3,140928000000000000000000000000;-0,000664653589792951700000000000
1000000;1;79;3,141884000000000000000000000000;0,000291346410207005140000000000
1000000;1;74;3,140364000000000000000000000000;-0,001228653589793182700000000000
1000000;1;80;3,141884000000000000000000000000;0,000291346410207005140000000000
1000000;1;81;3,139236000000000000000000000000;-0,002356653589793200600000000000
2000000;2;150;3,142498000000000000000000000000;0,000905346410206675500000000000
2000000;2;136;3,142830000000000000000000000000;0,001237346410206896500000000000
2000000;2;136;3,140416000000000000000000000000;-0,001176653589793019700000000000
2000000;2;134;3,143802000000000000000000000000;0,002209346410206869400000000000
2000000;2;148;3,142632000000000000000000000000;0,001039346410206754000000000000
3000000;3;197;3,141066666666666700000000000000;-0,000525986923126442500000000000
3000000;3;205;3,142757333333333400000000000000;0,001164679743540286700000000000
3000000;3;180;3,142512000000000000000000000000;0,000919346410206856000000000000
3000000;3;178;3,141256000000000300000000000000;-0,000336653589792845760000000000
3000000;3;191;3,141352000000000000000000000000;-0,000240653589793193850000000000
4000000;4;210;3,140955000000000000000000000000;-0,000637653589793174500000000000
4000000;4;240;3,141502000000000000000000000000;-0,000090653589793099340000000000
4000000;4;236;3,141722000000000000000000000000;0,000129346410207009650000000000
4000000;4;253;3,141194999999999700000000000000;-0,000397653589793378600000000000
4000000;4;237;3,141862000000000000000000000000;0,000269346410207038640000000000
5000000;5;313;3,140352800000000000000000000000;-0,001239853589793060700000000000
5000000;5;277;3,142193600000000000000000000000;0,000600946410207026100000000000
5000000;5;286;3,142468000000000000000000000000;0,000875346410206923000000000000
5000000;5;313;3,142351200000000200000000000000;0,000758546410207117100000000000
5000000;5;284;3,142240799999999700000000000000;0,000648146410206607000000000000
6000000;6;327;3,139907333333333400000000000000;-0,001685320256459732500000000000
6000000;6;336;3,142064000000000000000000000000;0,000471346410206852100000000000
6000000;6;360;3,142607333333333300000000000000;0,001014679743540192200000000000
6000000;6;382;3,141023333333333000000000000000;-0,000569320256460059700000000000
6000000;6;376;3,140846000000000000000000000000;-0,000746653589793311300000000000
7000000;7;373;3,142531428571428500000000000000;0,000938774981635415200000000000
7000000;7;387;3,141148571428571400000000000000;-0,000444082161221714950000000000
7000000;7;412;3,142447428571429000000000000000;0,000854774981635664200000000000
7000000;7;393;3,141820000000000000000000000000;0,000227346410206941130000000000
7000000;7;353;3,140829142857143000000000000000;-0,000763510732650019000000000000
8000000;8;506;3,141394500000000000000000000000;-0,000198153589793026440000000000
8000000;8;496;3,141691500000000000000000000000;0,000098846410206743230000000000
8000000;8;456;3,142225500000000000000000000000;0,000632846410206777700000000000
8000000;8;418;3,142100000000000000000000000000;0,000507346410206999100000000000
8000000;8;515;3,141950000000000000000000000000;0,000357346410206904600000000000
9000000;9;564;3,141581777777777700000000000000;-0,000010875812015420650000000000
9000000;9;518;3,140648444444444500000000000000;-0,000944209145348651200000000000
9000000;9;501;3,141460000000000000000000000000;-0,000132653589793196860000000000
9000000;9;554;3,141136444444444300000000000000;-0,000456209145348829300000000000
9000000;9;532;3,140544444444444600000000000000;-0,001048209145348533200000000000
10000000;10;619;3,140982799999999700000000000000;-0,000609853589793374300000000000
10000000;10;604;3,141344400000000000000000000000;-0,000248253589793190340000000000
10000000;10;622;3,140829199999999800000000000000;-0,000763453589793350300000000000
10000000;10;599;3,142326400000000000000000000000;0,000733746410206848100000000000
10000000;10;597;3,141813200000000000000000000000;0,000220546410206967640000000000
11000000;11;637;3,141297818181818000000000000000;-0,000294835407975035930000000000
11000000;11;710;3,141471272727273000000000000000;-0,000121380862520226170000000000
11000000;11;716;3,142214545454545600000000000000;0,000621891864752477400000000000
11000000;11;683;3,141355272727272700000000000000;-0,000237380862520453200000000000
11000000;11;713;3,142064727272727300000000000000;0,000472073682934226470000000000
12000000;12;811;3,140629666666666400000000000000;-0,000962986923126685200000000000
12000000;12;684;3,141201666666666400000000000000;-0,000390986923126668300000000000
12000000;12;715;3,142139000000000200000000000000;0,000546346410207121400000000000
12000000;12;695;3,141551666666666500000000000000;-0,000040986923126595800000000000
12000000;12;687;3,141258000000000000000000000000;-0,000334653589793010300000000000
13000000;13;806;3,141895384615384800000000000000;0,000302731025591640450000000000
13000000;13;842;3,142373846153846000000000000000;0,000781192564053068100000000000
13000000;13;843;3,141756923076923300000000000000;0,000164269487130219720000000000
13000000;13;868;3,141048307692307700000000000000;-0,000544345897485421000000000000
13000000;13;846;3,141401846153846000000000000000;-0,000190807435946904750000000000
14000000;14;860;3,141475714285714400000000000000;-0,000116939304078744750000000000
14000000;14;963;3,142274571428571600000000000000;0,000681917838778467500000000000
14000000;14;878;3,141265142857142800000000000000;-0,000327510732650360100000000000
14000000;14;798;3,140808857142857000000000000000;-0,000783796446936158000000000000
14000000;14;803;3,141618285714286000000000000000;0,000025632124492691588000000000
15000000;15;938;3,141546666666666700000000000000;-0,000045986923126406510000000000
15000000;15;922;3,141564533333333300000000000000;-0,000028120256459818194000000000
15000000;15;986;3,141094933333333000000000000000;-0,000497720256459999200000000000
15000000;15;916;3,141704266666667000000000000000;0,000111613076873684490000000000
15000000;15;910;3,141972800000000000000000000000;0,000380146410206894100000000000
16000000;16;1059;3,141687250000000000000000000000;0,000094596410206815300000000000
16000000;16;964;3,140956250000000000000000000000;-0,000636403589793221900000000000
16000000;16;1001;3,141830250000000000000000000000;0,000237596410206819540000000000
16000000;16;1004;3,142136250000000000000000000000;0,000543596410206959000000000000
16000000;16;1028;3,141979500000000000000000000000;0,000386846410207031250000000000
