totalIterations;numWorkers;Duree;Pi;Error
1000000;1;28;3,141728000000000000000000000000;0,000135346410206960140000000000
1000000;1;29;3,142488000000000000000000000000;0,000895346410207054100000000000
1000000;1;29;3,141248000000000000000000000000;0,000344653589793075800000000000
1000000;1;30;3,142448000000000000000000000000;0,000855346410206792000000000000
1000000;1;29;3,143124000000000000000000000000;0,001531346410206691000000000000
2000000;2;36;3,141274000000000000000000000000;0,000318653589792994300000000000
2000000;2;31;3,140760000000000000000000000000;0,000832653589792897700000000000
2000000;2;33;3,142042000000000000000000000000;0,000449346410206885600000000000
2000000;2;33;3,140234000000000000000000000000;0,001358653589793146200000000000
2000000;2;33;3,141878000000000000000000000000;0,000285346410207054650000000000
3000000;3;34;3,141413333333333000000000000000;0,000179320256460169250000000000
3000000;3;35;3,140587999999999700000000000000;0,001004653589793402800000000000
3000000;3;34;3,141097333333333000000000000000;0,000495320256459930200000000000
3000000;3;35;3,142718666666666700000000000000;0,001126013076873544300000000000
3000000;3;35;3,140037333333333300000000000000;0,001555320256459769000000000000
4000000;4;36;3,142189000000000000000000000000;0,000596346410207004900000000000
4000000;4;34;3,141577000000000000000000000000;0,000015653589793274136000000000
4000000;4;36;3,141170000000000000000000000000;0,000422653589793320350000000000
4000000;4;37;3,141638000000000000000000000000;0,000045346410206814625000000000
4000000;4;35;3,142142000000000000000000000000;0,000549346410207096600000000000
5000000;5;37;3,142349600000000000000000000000;0,000756946410207071100000000000
5000000;5;38;3,140371199999999700000000000000;0,001221453589793419800000000000
5000000;5;47;3,141355200000000000000000000000;0,000237453589793101830000000000
5000000;5;37;3,141704800000000300000000000000;0,000112146410207181190000000000
5000000;5;34;3,141159199999999700000000000000;0,000433453589793408870000000000
6000000;6;43;3,141226666666666400000000000000;0,000365986923126726540000000000
6000000;6;36;3,142047333333333600000000000000;0,000454679743540520300000000000
6000000;6;36;3,142185333333333400000000000000;0,000592679743540269800000000000
6000000;6;42;3,142913333333333000000000000000;0,001320679743539887600000000000
6000000;6;41;3,142496000000000000000000000000;0,000903346410206840000000000000
7000000;7;41;3,140518857142857300000000000000;0,001073796446935837400000000000
7000000;7;38;3,141208000000000000000000000000;0,000384653589793337860000000000
7000000;7;42;3,140760000000000000000000000000;0,000832653589792897700000000000
7000000;7;39;3,143240571428571000000000000000;0,001647917838778045800000000000
7000000;7;38;3,142636571428571600000000000000;0,001043917838778441000000000000
8000000;8;42;3,141861500000000000000000000000;0,000268846410206968760000000000
8000000;8;47;3,142472000000000000000000000000;0,000879346410207038100000000000
8000000;8;37;3,141758500000000000000000000000;0,000165846410206782480000000000
8000000;8;42;3,141526000000000000000000000000;0,000066653589793297390000000000
8000000;8;49;3,142087500000000000000000000000;0,000494846410207028200000000000
9000000;9;54;3,141717333333333300000000000000;0,000124679743540134780000000000
9000000;9;53;3,141642222222222000000000000000;0,000049568632428886870000000000
9000000;9;64;3,141733777777778000000000000000;0,000141124187984953400000000000
9000000;9;46;3,142940444444444000000000000000;0,001347790854651087500000000000
9000000;9;49;3,140521333333333500000000000000;0,001071320256459618000000000000
10000000;10;66;3,141965200000000000000000000000;0,000372546410206897600000000000
10000000;10;55;3,142195200000000000000000000000;0,000602546410207072100000000000
10000000;10;60;3,141473200000000000000000000000;0,000119453589793039330000000000
10000000;10;61;3,141432400000000200000000000000;0,000160253589792880300000000000
10000000;10;60;3,142020800000000000000000000000;0,000428146410206942100000000000
11000000;11;55;3,141552727272727300000000000000;0,000039926317065841490000000000
11000000;11;64;3,141099636363636000000000000000;0,000493017226157022000000000000
11000000;11;61;3,141557818181818000000000000000;0,000034835407975108980000000000
11000000;11;61;3,141104363636364000000000000000;0,000488289953429088500000000000
11000000;11;65;3,141052000000000000000000000000;0,000540653589792938800000000000
12000000;12;59;3,139996333333333000000000000000;0,001596320256460170800000000000
12000000;12;62;3,141197999999999700000000000000;0,000394653589793403370000000000
12000000;12;67;3,142360333333333000000000000000;0,000767679743539861900000000000
12000000;12;63;3,142507333333333000000000000000;0,000914679743539981200000000000
12000000;12;60;3,141501000000000000000000000000;0,000091653589793239120000000000
13000000;13;74;3,141860000000000300000000000000;0,000267346410207203200000000000
13000000;13;73;3,140636923076923000000000000000;0,000955730512870012200000000000
13000000;13;73;3,141474153846153700000000000000;0,000118499743639421950000000000
13000000;13;61;3,141881230769231000000000000000;0,000288577179437865540000000000
13000000;13;66;3,141959692307692000000000000000;0,000367038717898893200000000000
14000000;14;66;3,142403142857143300000000000000;0,000810489267350167400000000000
14000000;14;66;3,141368285714286000000000000000;0,000224367875507169860000000000
14000000;14;63;3,140982285714285700000000000000;0,000610367875507389400000000000
14000000;14;64;3,142120285714285400000000000000;0,000527632124492249900000000000
14000000;14;68;3,141768571428571500000000000000;0,000175917838778350000000000000
15000000;15;76;3,141529333333333000000000000000;0,000063320256459942210000000000
15000000;15;67;3,141120533333333400000000000000;0,000472120256459707100000000000
15000000;15;64;3,140723733333333000000000000000;0,000868920256460015100000000000
15000000;15;66;3,141282666666666700000000000000;0,000309986923126448500000000000
15000000;15;90;3,141436266666666600000000000000;0,000156386923126472500000000000
16000000;16;84;3,141954500000000000000000000000;0,000361846410207089500000000000
16000000;16;80;3,141225500000000000000000000000;0,000367153589793112200000000000
16000000;16;83;3,141737750000000000000000000000;0,000145096410206768670000000000
16000000;16;93;3,140701500000000000000000000000;0,000891153589793081100000000000
16000000;16;74;3,141079000000000000000000000000;0,000513653589793161600000000000
